Age,FrequencyPerYear,NewPlacesAttitude,HasPassport,Answer
25,4,Позитивне,Так,
30,2,Нейтральне,Ні,
35,6,Позитивне,Ні,
40,1,Негативне,Так,
45,3,Позитивне,Так,
50,5,Нейтральне,Ні,
22,3,Позитивне,Ні,
28,5,Нейтральне,Так,
33,2,Негативне,Ні,
38,4,Позитивне,Так,
41,1,Нейтральне,Так,
47,6,Позитивне,Ні,
52,3,Позитивне,Так,
58,2,Негативне,Ні,
63,4,Нейтральне,Ні,
69,5,Позитивне,Так,
24,2,Позитивне,Ні,
29,4,Нейтральне,Так,
36,3,Негативне,Ні,
39,5,Позитивне,Так,
42,1,Нейтральне,Так,
46,6,Позитивне,Ні,
51,3,Позитивне,Так,
57,2,Негативне,Ні,
62,4,Нейтральне,Ні,
67,5,Позитивне,Так,
23,3,Позитивне,Ні,
27,5,Нейтральне,Так,
34,2,Негативне,Ні,
37,4,Позитивне,Так,
40,1,Нейтральне,Так,
44,6,Позитивне,Ні,
49,3,Позитивне,Так,
55,2,Негативне,Ні,
60,4,Нейтральне,Ні,
65,5,Позитивне,Так,
22,3,Позитивне,Ні,
28,5,Нейтральне,Так,
33,2,Негативне,Ні,
38,4,Позитивне,Так,
41,1,Нейтральне,Так,
47,6,Позитивне,Ні,
52,3,Позитивне,Так,
58,2,Негативне,Ні,
63,4,Нейтральне,Ні,
69,5,Позитивне,Так,
